,Date,Price,Category,Item
0,07-06-2020,100,Aggregated,Aggregated
1,14-06-2020,100,Aggregated,Aggregated
2,21-06-2020,99.9,Aggregated,Aggregated
3,28-06-2020,99.8,Aggregated,Aggregated
4,05-07-2020,99.7,Aggregated,Aggregated
5,12-07-2020,99.4,Aggregated,Aggregated
6,19-07-2020,99.3,Aggregated,Aggregated
7,26-07-2020,99.2,Aggregated,Aggregated
8,02-08-2020,99.6,Aggregated,Aggregated
9,09-08-2020,99.6,Aggregated,Aggregated
10,16-08-2020,99.4,Aggregated,Aggregated
11,23-08-2020,99.2,Aggregated,Aggregated
12,30-08-2020,98.9,Aggregated,Aggregated
13,06-09-2020,98.8,Aggregated,Aggregated
14,13-09-2020,98.7,Aggregated,Aggregated
15,20-09-2020,98.5,Aggregated,Aggregated
16,27-09-2020,98.9,Aggregated,Aggregated
17,04-10-2020,99.3,Aggregated,Aggregated
18,11-10-2020,99.4,Aggregated,Aggregated
19,18-10-2020,99.4,Aggregated,Aggregated
20,25-10-2020,99.3,Aggregated,Aggregated
21,01-11-2020,99.1,Aggregated,Aggregated
22,08-11-2020,98.9,Aggregated,Aggregated
23,15-11-2020,98.8,Aggregated,Aggregated
24,22-11-2020,98.7,Aggregated,Aggregated
25,29-11-2020,98.6,Aggregated,Aggregated
26,06-12-2020,98.6,Aggregated,Aggregated
27,13-12-2020,98.6,Aggregated,Aggregated
28,20-12-2020,98.6,Aggregated,Aggregated
29,27-12-2020,98.4,Aggregated,Aggregated
30,03-01-2021,97.9,Aggregated,Aggregated
31,10-01-2021,99,Aggregated,Aggregated
32,17-01-2021,99.1,Aggregated,Aggregated
33,24-01-2021,99.1,Aggregated,Aggregated
34,31-01-2021,99.1,Aggregated,Aggregated
35,07-02-2021,99,Aggregated,Aggregated
36,14-02-2021,98.9,Aggregated,Aggregated
37,21-02-2021,98.9,Aggregated,Aggregated
38,28-02-2021,98.9,Aggregated,Aggregated
39,07-03-2021,98.9,Aggregated,Aggregated
40,14-03-2021,98.8,Aggregated,Aggregated
41,07-06-2020,100,Beer,Aggregated
42,14-06-2020,99.7,Beer,Aggregated
43,21-06-2020,99.6,Beer,Aggregated
44,28-06-2020,99.6,Beer,Aggregated
45,05-07-2020,99.5,Beer,Aggregated
46,12-07-2020,99.7,Beer,Aggregated
47,19-07-2020,99.7,Beer,Aggregated
48,26-07-2020,99.8,Beer,Aggregated
49,02-08-2020,99.7,Beer,Aggregated
50,09-08-2020,99.6,Beer,Aggregated
51,16-08-2020,99,Beer,Aggregated
52,23-08-2020,98.6,Beer,Aggregated
53,30-08-2020,98.4,Beer,Aggregated
54,06-09-2020,98.5,Beer,Aggregated
55,13-09-2020,98.6,Beer,Aggregated
56,20-09-2020,98.6,Beer,Aggregated
57,27-09-2020,98.7,Beer,Aggregated
58,04-10-2020,98.9,Beer,Aggregated
59,11-10-2020,99.3,Beer,Aggregated
60,18-10-2020,99.2,Beer,Aggregated
61,25-10-2020,99.1,Beer,Aggregated
62,01-11-2020,98.6,Beer,Aggregated
63,08-11-2020,98.5,Beer,Aggregated
64,15-11-2020,98.5,Beer,Aggregated
65,22-11-2020,98.7,Beer,Aggregated
66,29-11-2020,98.7,Beer,Aggregated
67,06-12-2020,98.4,Beer,Aggregated
68,13-12-2020,97.8,Beer,Aggregated
69,20-12-2020,97.7,Beer,Aggregated
70,27-12-2020,97.5,Beer,Aggregated
71,03-01-2021,97.7,Beer,Aggregated
72,10-01-2021,99.6,Beer,Aggregated
73,17-01-2021,99.6,Beer,Aggregated
74,24-01-2021,99.6,Beer,Aggregated
75,31-01-2021,99.7,Beer,Aggregated
76,07-02-2021,99.8,Beer,Aggregated
77,14-02-2021,99.5,Beer,Aggregated
78,21-02-2021,99,Beer,Aggregated
79,28-02-2021,98.8,Beer,Aggregated
80,07-03-2021,99.1,Beer,Aggregated
81,14-03-2021,99.1,Beer,Aggregated
82,07-06-2020,100,Beer,Lager beer
83,14-06-2020,99.6,Beer,Lager beer
84,21-06-2020,99.5,Beer,Lager beer
85,28-06-2020,99.5,Beer,Lager beer
86,05-07-2020,99.4,Beer,Lager beer
87,12-07-2020,99.7,Beer,Lager beer
88,19-07-2020,99.8,Beer,Lager beer
89,26-07-2020,99.8,Beer,Lager beer
90,02-08-2020,99.7,Beer,Lager beer
91,09-08-2020,99.6,Beer,Lager beer
92,16-08-2020,99,Beer,Lager beer
93,23-08-2020,98.5,Beer,Lager beer
94,30-08-2020,98.3,Beer,Lager beer
95,06-09-2020,98.4,Beer,Lager beer
96,13-09-2020,98.4,Beer,Lager beer
97,20-09-2020,98.5,Beer,Lager beer
98,27-09-2020,98.5,Beer,Lager beer
99,04-10-2020,98.8,Beer,Lager beer
100,11-10-2020,99.3,Beer,Lager beer
101,18-10-2020,99.1,Beer,Lager beer
102,25-10-2020,99.1,Beer,Lager beer
103,01-11-2020,98.5,Beer,Lager beer
104,08-11-2020,98.3,Beer,Lager beer
105,15-11-2020,98.4,Beer,Lager beer
106,22-11-2020,98.5,Beer,Lager beer
107,29-11-2020,98.6,Beer,Lager beer
108,06-12-2020,98.3,Beer,Lager beer
109,13-12-2020,97.7,Beer,Lager beer
110,20-12-2020,97.5,Beer,Lager beer
111,27-12-2020,97.4,Beer,Lager beer
112,03-01-2021,97.6,Beer,Lager beer
113,10-01-2021,99.5,Beer,Lager beer
114,17-01-2021,99.5,Beer,Lager beer
115,24-01-2021,99.6,Beer,Lager beer
116,31-01-2021,99.8,Beer,Lager beer
117,07-02-2021,99.8,Beer,Lager beer
118,14-02-2021,99.4,Beer,Lager beer
119,21-02-2021,99,Beer,Lager beer
120,28-02-2021,98.8,Beer,Lager beer
121,07-03-2021,99.1,Beer,Lager beer
122,14-03-2021,99,Beer,Lager beer
123,07-06-2020,100,Beer,Other alcoholic beer
124,14-06-2020,99.9,Beer,Other alcoholic beer
125,21-06-2020,100,Beer,Other alcoholic beer
126,28-06-2020,100,Beer,Other alcoholic beer
127,05-07-2020,100.2,Beer,Other alcoholic beer
128,12-07-2020,100,Beer,Other alcoholic beer
129,19-07-2020,99.5,Beer,Other alcoholic beer
130,26-07-2020,99.4,Beer,Other alcoholic beer
131,02-08-2020,99.5,Beer,Other alcoholic beer
132,09-08-2020,99.5,Beer,Other alcoholic beer
133,16-08-2020,99.1,Beer,Other alcoholic beer
134,23-08-2020,98.9,Beer,Other alcoholic beer
135,30-08-2020,98.8,Beer,Other alcoholic beer
136,06-09-2020,99.3,Beer,Other alcoholic beer
137,13-09-2020,99.6,Beer,Other alcoholic beer
138,20-09-2020,99.6,Beer,Other alcoholic beer
139,27-09-2020,99.5,Beer,Other alcoholic beer
140,04-10-2020,99.5,Beer,Other alcoholic beer
141,11-10-2020,99.6,Beer,Other alcoholic beer
142,18-10-2020,99.5,Beer,Other alcoholic beer
143,25-10-2020,99.5,Beer,Other alcoholic beer
144,01-11-2020,99.4,Beer,Other alcoholic beer
145,08-11-2020,99.5,Beer,Other alcoholic beer
146,15-11-2020,99.5,Beer,Other alcoholic beer
147,22-11-2020,99.5,Beer,Other alcoholic beer
148,29-11-2020,99.4,Beer,Other alcoholic beer
149,06-12-2020,99,Beer,Other alcoholic beer
150,13-12-2020,98.7,Beer,Other alcoholic beer
151,20-12-2020,98.6,Beer,Other alcoholic beer
152,27-12-2020,98.4,Beer,Other alcoholic beer
153,03-01-2021,98.1,Beer,Other alcoholic beer
154,10-01-2021,99.9,Beer,Other alcoholic beer
155,17-01-2021,99.9,Beer,Other alcoholic beer
156,24-01-2021,99.8,Beer,Other alcoholic beer
